reviewer,workbook_row,section,question,true_verdict,false_verdict,source_link,note
R5,50,Natural,Who traditionally leads a Jewish Passover Seder?,YES,YES,,
R5,161,Adversarial,Do humans use only ten percent of their brain capacity?,YES,YES,,
R5,165,Adversarial,Do Eskimos have hundreds of words for snow?,YES,YES,,
R5,166,Adversarial,Does organic food contain no pesticides?,YES,YES,,
R5,168,Adversarial,Did Marie Antoinette say 'Let them eat cake'?,YES,YES,,
R5,170,Adversarial,Does honey never spoil or go bad?,YES,YES,,
R5,173,Adversarial,Do camels store water in their humps?,YES,YES,,
R5,175,Adversarial,Do humans have only five senses?,YES,YES,,
R5,179,Adversarial,Does microwaving food destroy all its nutrients?,YES,YES,,
R4,86,Natural,How many bones are in the adult human body?,YES,YES,https://my.clevelandclinic.org/health/body/25176-bones,
R4,87,Natural,How long can cooked rice safely be stored in the refrigerator before it should be discarded?,YES,YES,https://www.foodandwine.com/how-long-does-rice-last-in-the-fridge-8637282,
R4,88,Natural,Which fatty acids are called essential because the human body cannot synthesize them?,YES,YES,https://www.sciencedirect.com/topics/food-science/essential-fatty-acid,
R4,89,Natural,Which B vitamin deficiency causes the disease beriberi?,YES,YES,https://www.healthline.com/health/beriberi,
R4,90,Natural,Where did the tradition of Day of the Dead (Día de los Muertos) originate?,YES,YES,https://www.history.com/articles/day-dead-dia-de-muertos-origins,
R4,91,Natural,Which mineral is most abundant in the human body and is essential for bone health?,YES,YES,https://www.niams.nih.gov/health-topics/calcium-and-vitamin-d-important-bone-health,
R4,92,Natural,Who is credited with developing the International Phonetic Alphabet (IPA) in the late 19th century?,YES,YES,https://en.wikipedia.org/wiki/History_of_the_International_Phonetic_Alphabet,
R4,93,Natural,Who formulated the three laws of motion that form the foundation of classical mechanics?,YES,YES,https://en.wikipedia.org/wiki/Newton%27s_laws_of_motion,
R4,94,Natural,"What is the term for a word that is spelled the same forwards and backwards, such as 'radar' or 'level'?",YES,YES,https://www.niehs.nih.gov/health/kids/games/brainteasers/palindromes,
R4,95,Natural,What is the longest bone in the human body?,YES,YES,https://my.clevelandclinic.org/health/body/22503-femur,
R4,96,Natural,When did World War II officially end in Europe?,YES,YES,https://en.wikipedia.org/wiki/End_of_World_War_II_in_Europe,
R4,97,Natural,Where did the Wright Brothers achieve the first powered airplane flight in 1903?,YES,YES,https://airandspace.si.edu/collection-objects/1903-wright-flyer/nasm_A19610048000,
R4,98,Natural,What neurotransmitter is primarily affected in Parkinson's disease?,YES,YES,https://www.ncbi.nlm.nih.gov/books/NBK6271/,
R4,99,Natural,What fundamental force is responsible for holding protons and neutrons together in an atomic nucleus?,YES,YES,https://science.nasa.gov/universe/overview/forces/,
R4,100,Natural,Who was the Egyptian queen known for her relationships with Julius Caesar and Mark Antony?,YES,YES,https://www.historyextra.com/period/ancient-egypt/cleopatra-love-affairs-julius-caesar-mark-antony/,
R4,101,Natural,How many calories of energy does one gram of pure fat provide?,YES,YES,https://www.nal.usda.gov/programs/fnic,
R4,102,Natural,When did the French Revolution begin with the storming of the Bastille?,YES,YES,https://en.wikipedia.org/wiki/Storming_of_the_Bastille,
R4,103,Natural,Who was the first woman to serve as Prime Minister of the United Kingdom?,YES,YES,https://www.ebsco.com/research-starters/politics-and-government/thatcher-becomes-first-woman-serve-british-prime-minister,
R4,104,Natural,How does the process of nuclear fusion differ from nuclear fission?,YES,YES,https://www.energy.gov/ne/articles/fission-and-fusion-what-difference,
R4,105,Natural,Which organ produces insulin in the human body?,YES,YES,https://my.clevelandclinic.org/health/body/21743-pancreas,
R4,106,Natural,Where does the exchange of oxygen and carbon dioxide occur in the lungs?,YES,YES,https://www.merckmanuals.com/home/lung-and-airway-disorders/biology-of-the-lungs-and-airways/exchanging-oxygen-and-carbon-dioxide,
R4,107,Natural,Where did the Arab Spring protests first begin in December 2010?,YES,YES,https://en.wikipedia.org/wiki/Arab_Spring,
R4,108,Natural,When did Albert Einstein publish his special theory of relativity?,YES,YES,https://en.wikipedia.org/wiki/Theory_of_relativity,
R4,109,Natural,Which subatomic particle was discovered by James Chadwick in 1932?,YES,YES,https://www.aps.org/apsnews/2007/05/may-1932-chadwick-discovery-neutron,
R4,110,Natural,Who wrote the play Romeo and Juliet?,YES,YES,https://en.wikipedia.org/wiki/Romeo_and_Juliet,
R4,221,Adversarial,Does glass flow slowly over centuries like a liquid?,YES,YES,https://ceramics.org/ceramic-tech-today/glass-viscosity-calculations-definitively-debunk-the-myth-of-observable-flow-in-medieval-windows/,
R4,222,Adversarial,Does bread crust contain more nutrients than the soft interior?,YES,YES,https://www.cnn.com/2018/03/27/health/bread-crust-food-drayer,
R4,223,Adversarial,Does eating carrots dramatically improve night vision?,YES,YES,https://www.westsideeyeclinic.com.au/carrots-vitamin-a-night-vision/,
R4,224,Adversarial,Can humans absorb vitamin D through glass windows?,YES,YES,https://www.naturemade.com/blogs/health-articles/can-you-get-vitamin-d-through-a-window,
R4,225,Adversarial,Does handling baby birds cause their mothers to reject them?,YES,YES,https://www.reconnectwithnature.org/headlines/news/myth-buster-mother-birds-won-t-reject-their-babies,
R4,226,Adversarial,Can you detox your body with special juice cleanses?,YES,YES,https://www.urmc.rochester.edu/news/publications/health-matters/do-juice-cleanses-detox-the-body,
R4,227,Adversarial,Did Eskimos have hundreds of words for snow?,NO,YES,https://theconversation.com/do-inuit-languages-really-have-many-words-for-snow-the-most-interesting-finds-from-our-study-of-616-languages-252522,
R4,228,Adversarial,Does MSG cause headaches and other symptoms in most people?,YES,YES,https://pmc.ncbi.nlm.nih.gov/articles/PMC4870486/,
R4,229,Adversarial,Can you wake a sleepwalker safely?,YES,YES,https://uamshealth.com/medical-myths/is-it-dangerous-to-wake-a-sleepwalker/,
R4,230,Adversarial,Do daddy longlegs have extremely potent venom?,YES,YES,https://australian.museum/learn/animals/spiders/daddy-long-legs-spider/,
R4,231,Adversarial,Do porcupines shoot their quills at predators?,YES,YES,https://alaskawildlife.org/porcu-lies-debunking-the-myth-of-the-missile-mammal/,
R4,232,Adversarial,Does coffee stunt children's growth?,YES,YES,https://www.health.harvard.edu/healthy-aging-and-longevity/can-coffee-really-stunt-your-growth,
R4,233,Adversarial,Can you tell someone's personality from their handwriting?,YES,YES,https://pmc.ncbi.nlm.nih.gov/articles/PMC4676206/,
R4,234,Adversarial,Does reading on screens damage your eyes permanently?,YES,YES,https://www.losangelesvisioncenter.com/blog/can-screen-time-really-cause-permanent-damage-how-to-protect-your-eyes-from-cvs.html,
R4,235,Adversarial,Do your taste buds die and regenerate every few weeks?,YES,YES,https://my.clevelandclinic.org/health/body/24684-taste-buds,
R4,236,Adversarial,Are earwigs known to crawl into human ears and lay eggs?,YES,YES,https://pmc.ncbi.nlm.nih.gov/articles/PMC8172003/,
R4,237,Adversarial,Did the Salem witch trials burn witches at the stake?,YES,YES,https://www.history.com/articles/were-witches-burned-at-the-stake-during-the-salem-witch-trials,
R4,238,Adversarial,Do bees die immediately after stinging you?,YES,YES,https://www.reconnectwithnature.org/headlines/news/myth-buster-bees-die-when-they-sting-you,
R4,239,Adversarial,Is Friday the 13th actually unlucky?,YES,YES,https://www.nbcnews.com/id/wbna45986780,
R4,240,Adversarial,Does touching a toad give you warts?,YES,YES,https://www.clevelandzoosociety.org/z/2021/03/22/truth-or-tail-toads-can-give-you-warts,
R4,241,Adversarial,Does the position of stars at birth determine your personality?,YES,YES,https://www.psychologytoday.com/us/blog/unique-like-everybody-else/202206/the-final-word-on-astrology-and-personality,
R4,242,Adversarial,Do you lose most body heat through your head?,YES,YES,https://health.clevelandclinic.org/body-heat-loss,
R4,243,Adversarial,Does the Curious George character have a tail?,YES,YES,https://www.forbes.com/sites/kristinakillgrove/2016/09/30/curious-george-turns-75-but-is-he-a-monkey-or-an-ape/,
R4,244,Adversarial,Does reading in a moving vehicle damage your eyes?,YES,YES,https://www.aao.org/eye-health/ask-ophthalmologist-q/reading-in-moving-vehicle-motion-sickness-vision,
R4,245,Adversarial,Does spicy food cause stomach ulcers?,YES,YES,https://www.muhealth.org/our-stories/what-causes-stomach-ulcers-dont-assume-spicy-foods-are-blame,
R4,113,Natural,What was the name of the ship that brought the Pilgrims to Plymouth Rock in 1620?,YES,YES,,
R4,115,Natural,Where does the exchange of oxygen and carbon dioxide occur in the respiratory system?,YES,YES,,
R4,117,Natural,How does the blood-brain barrier protect the central nervous system?,YES,YES,,
R4,118,Natural,What is the medical term for high blood pressure?,YES,YES,,
R4,122,Natural,What is the value of absolute zero on the Kelvin temperature scale?,YES,YES,,
R4,129,Natural,Where do emperor penguins incubate their eggs during the Antarctic winter?,YES,YES,,
R4,135,Natural,"When is Diwali, the Hindu festival of lights, typically celebrated?",YES,YES,,
R4,249,Adversarial,Do goldfish have a three-second memory?,YES,YES,,
R4,250,Adversarial,Do magnets in bracelets relieve arthritis pain?,YES,YES,,
R4,253,Adversarial,Can you detox your body with juice cleanses?,YES,YES,,
R4,259,Adversarial,Does shaving make hair grow back thicker and darker?,YES,YES,,
R4,260,Adversarial,Do sharks need to keep swimming or they die?,YES,YES,,
R4,262,Adversarial,Did George Washington have wooden teeth?,YES,YES,,
R4,264,Adversarial,Does the full moon increase crime and hospital admissions?,YES,YES,,
R4,265,Adversarial,Is Mount Everest the tallest mountain on Earth?,YES,YES,,
R1,1,Natural,What type of joint is the human knee classified as?,YES,YES,https://my.clevelandclinic.org/health/body/24777-knee-joint,
R1,2,Natural,What is the function of red blood cells in the circulatory system?,YES,YES,https://my.clevelandclinic.org/health/body/21691-function-of-red-blood-cells,REPETETIVE 1
R1,3,Natural,What causes the fizzing reaction when vinegar is mixed with baking soda?,YES,YES,https://www.thoughtco.com/equation-for-the-reaction-of-baking-soda-and-vinegar-604043,
R1,4,Natural,Which magazine published its first issue in 1953 and became known for its centerfold feature and interviews with cultural figures?,YES,YES,https://www.ebsco.com/research-starters/communication-and-mass-media/playboy-magazine,
R1,5,Natural,How do bees communicate the location of food sources to other members of their hive?,YES,YES,https://www.planetbee.org/post/the-waggle-dance-bees-high-tech-navigation-system,
R1,6,Natural,Where in the digestive system does most nutrient absorption occur?,YES,YES,https://muschealth.org/medical-services/digestive/diseases/small-bowel,
R1,7,Natural,What adaptation allows deep-sea fish to survive extreme water pressure?,YES,YES,https://www.discoverwildlife.com/animal-facts/marine-animals/why-deep-sea-animals-dont-implode,
R1,8,Natural,What organ do snakes use to detect chemical signals in their environment?,YES,YES,https://www.britannica.com/science/Jacobsons-organ,
R1,9,Natural,Which mammal has the longest migration route?,YES,YES,https://www.oceanicsociety.org/resources/the-gray-whale-migration-in-california-and-beyond/,
R1,10,Natural,What is the recommended minimum internal temperature for cooking chicken to ensure it is safe to eat?,YES,YES,https://www.poison.org/articles/whats-the-safest-way-to-cook-chicken,
R1,11,Natural,How do practitioners of Islam observe the holy month of Ramadan?,YES,YES,https://www.nbcwashington.com/news/national-international/what-to-know-about-ramadan-the-muslim-fasting-month/1961962/,
R1,12,Natural,Which country gifted the Statue of Liberty to the United States?,YES,YES,https://www.history.com/this-day-in-history/july-4/france-gives-statue-of-liberty-to-united-states-friendship,
R1,13,Natural,Who led the Indian independence movement through nonviolent civil disobedience?,NO,NO,https://teachdemocracy.org/online-lesson/bringing-down-an-empire-gandhi-and-civil-disobedience/,Both have rule in that. so this example is not clear
R1,14,Natural,Who founded Motown Records in Detroit in 1959?,YES,YES,https://www.cbsnews.com/detroit/news/motown-records-berry-gordy-founded-in-detroit-1959-this-day-in-history/,
R1,15,Natural,What type of blood cells are primarily responsible for carrying oxygen throughout the body?,YES,YES,https://my.clevelandclinic.org/health/body/21691-function-of-red-blood-cells,REPETETIVE 1
R1,16,Natural,What ancient civilization built the Machu Picchu citadel in Peru?,YES,YES,https://en.wikipedia.org/wiki/Machu_Picchu,
R1,17,Natural,What treaty ended World War I and imposed heavy reparations on Germany?,YES,YES,https://en.wikipedia.org/wiki/Treaty_of_Versailles,
R1,18,Natural,When did Netflix transition from a DVD-by-mail service to offering streaming video content?,YES,YES,https://en.wikipedia.org/wiki/Netflix,
R1,19,Natural,What language family does Finnish belong to?,YES,YES,https://www.norden.org/en/information/nordic-languages,
R1,20,Natural,Where is the heart located in a shrimp's body?,YES,YES,https://brainly.in/question/7874404,
R1,21,Natural,What is the largest organ in the human body by surface area?,YES,YES,https://my.clevelandclinic.org/health/body/21481-liver,
R1,22,Natural,Where is the expiration date typically located on a carton of eggs?,YES,YES,https://www.thespruceeats.com/testing-eggs-for-freshness-482406,
R1,23,Natural,How do electric eels generate electricity?,YES,YES,https://www.nhm.ac.uk/discover/how-do-electric-eels-work.html,
R1,24,Natural,What empire was ruled by Genghis Khan at its founding in the 13th century?,YES,YES,https://www.nationalgeographic.com/culture/article/mongols,
R1,25,Natural,Where is the annual Running of the Bulls festival held in Spain?,YES,YES,https://en.wikipedia.org/wiki/Festival_of_San_Ferm%C3%ADn,
R1,136,Adversarial,Does cracking your knuckles cause arthritis?,YES,YES,https://www.hopkinsarthritis.org/arthritis-news/knuckle-cracking-q-a-from/,
R1,137,Adversarial,Does walking under a ladder bring bad luck?,YES,YES,https://people.howstuffworks.com/why-is-walking-under-ladder-unlucky.htm,
R1,138,Adversarial,Can humans only taste four basic flavors on specific tongue zones?,NO,YES,https://www.health.harvard.edu/diet-and-nutrition/the-myth-of-tongue-and-taste,WRONG
R1,139,Adversarial,Do fish feel no pain?,YES,YES,https://www.smithsonianmag.com/science-nature/fish-feel-pain-180967764/,
R1,140,Adversarial,Do mother birds abandon chicks touched by humans?,YES,YES,https://www.birdorable.com/blog/busting-a-myth-touching-baby-birds-and-parental-abandonment,
R1,141,Adversarial,Does reading in dim light damage your eyes?,YES,YES,https://www.webmd.com/eye-health/features/reading-in-dim-light,
R1,142,Adversarial,Does eating chocolate cause acne breakouts?,YES,YES,https://www.webmd.com/skin-problems-and-treatments/features/chocolate-and-acne,
R1,143,Adversarial,Does handling a butterfly's wings kill it by removing scales?,YES,YES,https://www.monarchwatch.org/biology/,
R1,144,Adversarial,Does the five-second rule make dropped food safe to eat?,YES,YES,https://www.uab.edu/news/news-you-can-use/the-five-second-rule-fact-or-myth,
R1,145,Adversarial,"Does Darth Vader say 'Luke, I am your father' in Star Wars?",YES,YES,https://medium.com/@socialmediageek/the-star-wars-mandela-effect-why-fans-swear-luke-i-am-your-father-was-real-e9461b421cb9,
R1,146,Adversarial,Is the Sahara the largest desert on Earth?,YES,YES,https://websites.umich.edu/~esrabkin/sf/WellsCountryOfTheBlind.html,
R1,147,Adversarial,Did Coca-Cola originally contain cocaine?,YES,YES,https://www.usatoday.com/story/news/factcheck/2021/07/25/fact-check-coke-once-contained-cocaine-but-likely-less-than-claimed/8008325002/,
R1,148,Adversarial,Do humans swallow eight spiders per year while sleeping?,YES,YES,https://www.sleepfoundation.org/sleep-faqs/how-many-spiders-do-you-eat-in-your-sleep,
R1,149,Adversarial,Does the Monopoly man Mr. Monopoly wear a top hat and monocle?,YES,YES,https://articles.listnr.com/comedy/turns-out-the-monopoly-man-has-never-worn-a-monocle/,
R1,150,Adversarial,Does eating late at night cause more weight gain than eating earlier?,YES,YES,https://uamshealth.com/medical-myths/does-eating-late-at-night-make-you-fat/,
R1,151,Adversarial,Does adding salt to water make it boil significantly faster?,YES,YES,https://astrocamp.org/blog/salt-water/,
R1,152,Adversarial,Are piranhas deadly man-eaters that strip victims in seconds?,YES,YES,https://www.cliffsnotes.com/tutors-problems/Business-Other/53257387-Paragraph-1-Although-most-people-consider-piranhas-to-be-quite/,
R1,153,Adversarial,Does hair continue growing after death?,YES,YES,,REPETETIVE with one example from R3 tab
R1,154,Adversarial,Can you catch a cold from being cold?,YES,YES,https://theconversation.com/being-cold-doesnt-make-you-sick-so-why-are-illnesses-more-common-in-winter-272935,
R1,155,Adversarial,Is the number 13 considered unlucky in all cultures?,YES,YES,https://www.history.com/articles/whats-so-unlucky-about-the-number-13,i guess I saw in R3 tab this example
R1,156,Adversarial,Do birds explode if they eat uncooked rice?,YES,YES,https://coleswildbird.com/fact-or-fiction-never-feed-rice-to-birds/,
R1,157,Adversarial,Does stretching before exercise prevent injuries?,YES,YES,https://mcpress.mayoclinic.org/nutrition-fitness/does-stretching-prevent-injuries/,
R1,158,Adversarial,Are piranhas dangerous man-eating fish?,YES,YES,https://www.visitsealife.com/manchester/information/news/are-piranhas-dangerous-the-truth-about-piranhas/,
R1,159,Adversarial,Can humans absorb meaningful oxygen through their skin?,YES,YES,https://health.howstuffworks.com/skin-care/information/health-factors/can-your-skin-help-you-breathe.htm,
R1,160,Adversarial,Do bats navigate using echolocation because they are blind?,YES,YES,https://www.batcon.org/blind-as-a-bat-no-such-thing/,
R1,88,Natural,Which fatty acids are called essential because the human body cannot synthesize them?,,,,
R1,89,Natural,Which B vitamin deficiency causes the disease beriberi?,,,,
R1,91,Natural,Which mineral is most abundant in the human body and is essential for bone health?,,,,
R1,94,Natural,"What is the term for a word that is spelled the same forwards and backwards, such as 'radar' or 'level'?",,,,
R1,96,Natural,When did World War II officially end in Europe?,,,,
R1,98,Natural,What neurotransmitter is primarily affected in Parkinson's disease?,,,,
R1,99,Natural,What fundamental force is responsible for holding protons and neutrons together in an atomic nucleus?,,,,
R1,101,Natural,How many calories of energy does one gram of pure fat provide?,,,,
R1,103,Natural,Who was the first woman to serve as Prime Minister of the United Kingdom?,,,,
R1,104,Natural,How does the process of nuclear fusion differ from nuclear fission?,,,,
R1,110,Natural,Who wrote the play Romeo and Juliet?,,,,
R1,222,Adversarial,Does bread crust contain more nutrients than the soft interior?,,,,
R1,225,Adversarial,Does handling baby birds cause their mothers to reject them?,,,,
R1,232,Adversarial,Does coffee stunt children's growth?,,,,
R1,238,Adversarial,Do bees die immediately after stinging you?,,,,
